genes	enzymes	shortNames	MWs	pathways	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage	unique	conectivity	groups	priority	foldChange_yield	foldChange_pRate
YDR300C	P32264	PRO1	47.16164	sce00330  Arginine and proline metabolism sce00332  Carbapenem biosynthesis sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	2	1000	tightly_const	2	2.10049323061897e-07	2.10433506672414e-07	2.10188074822914e-07	1	4	0	1	1.0001539012677	1.00015418396469
YOR323C	P54885	PRO2	49.73991	sce00330  Arginine and proline metabolism sce00332  Carbapenem biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	2	1000	tightly_const	2	2.72308252955723e-08	2.7279759385314e-08	2.72466152002226e-08	1	6	0	1	1.0000210408446	1.00002107948868
YJR069C	P47119	HAM1	22.09268	sce00230  Purine metabolism	1	1000	essential	2	2.66075644074966e-11	4.25250226928859e-09	1.5728024228112e-10	1	16	0	1	1.00000005394715	1.00000005404625
CYP76AD1	I3PFJ5	CYP76AD1	56.212		2	1000	tightly_const	2	0.000542403713001353	0.000542403713002438	0.000542403713001353	1	3	0	1	1.20221567202123	1.20266238506615
DODC	Q88JU5	DODC	51.444		2	1000	tightly_const	2	1.67408553395479e-07	1.67408553395814e-07	1.67408553395479e-07	1	4	0	1	1.00004751314195	1.00004760041896
NCS	B6E2Z2	NCS	26.001		2	1000	tightly_const	2	5.19543786399764e-08	5.19543786400803e-08	5.19543786399764e-08	1	4	0	1	1.00000745240039	1.00000746608928
6OMT	Q6WUC1	6OMT	38.511		2	1000	tightly_const	2	3.76669245139828e-06	3.76669245140582e-06	3.76669245139828e-06	1	4	0	1	1.00080089093068	1.0008023632149
CNMT	Q7XB08	CNMT	41.032		2	1000	tightly_const	2	3.76669245139828e-06	3.76669245140582e-06	3.76669245139828e-06	1	5	0	1	1.00085336344467	1.00085493227272
CYP80B1	O64899	CYP80B1	54.644		2	1000	tightly_const	2	0.00108480742600271	0.00108480742600488	0.00108480742600271	1	7	0	1	1.48592514014696	1.48725841418716
4"OMT	Q7XB11	4"OMT	39.402		2	1000	tightly_const	2	4.19278413958345e-06	4.19278413959184e-06	4.19278413958345e-06	1	5	0	1	1.00091221559974	1.0009138927201
YDR050C	P00942	TPI1	26.79508	sce00010  Glycolysis / Gluconeogenesis sce00051  Fructose and mannose metabolism sce00562  Inositol phosphate metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	2	1.22618996084615	essential	2	2.84946575996843e-08	3.18769432656996e-08	2.85004113008414e-08	1	2	0	1	1.00002608426886	1.00002615903145
YDR380W	Q06408	ARO10	71.38357	sce00360  Phenylalanine metabolism	2	1000	opt_isoenz_tight	2	0	2.73960150244334e-08	2.73941269192603e-08	1	6	0	2	1.00001078794963	1.00001080776518
YDR452W	Q04119	PPN1	78.34335	sce00NNN  None	1	1000	opt_isoenz	2	0	1.15779121570517e-09	1.59461388661699e-12	1	11	0	3	1.00000000194026	1.00000000194312
YKL060C	P14540	FBA1	39.62024	sce00010  Glycolysis / Gluconeogenesis sce00030  Pentose phosphate pathway sce00051  Fructose and mannose metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	2	1.22715328146258	opt_isoenz	2	0	3.83832887545287e-09	3.79411480107521e-09	1	7	0	3	1.0000000000002	1
YLL052C		AQY2	NaN		0	0.288094739958463		0	NaN	NaN	NaN	0	2	1	3	1.00000000000004	1
YPR192W		AQY1	NaN		0	0.288094739958463		0	NaN	NaN	NaN	0	2	1	3	1.00000000000004	1
YOR222W		ODC2	NaN		0	0.259548077725633		0	NaN	NaN	NaN	0	6	4	3	1.00000000000004	1
YPL134C		ODC1	NaN		0	0.259548077725633		0	NaN	NaN	NaN	0	6	4	3	1.00000000000004	1
YER053C		PIC2	NaN		0	0.152927481197754		0	NaN	NaN	NaN	0	4	11	3	1.00000000000004	1
YJR077C		MIR1	NaN		0	0.152927481197754		0	NaN	NaN	NaN	0	4	11	3	1.00000000000004	1
