genes	enzymes	shortNames	MWs	actions	k_scores
YDR300C	P32264	PRO1	47.16164	1	1000
YOR323C	P54885	PRO2	49.73991	1	1000
YBR117C	P33315	TKL2	75.02862	1	46.4961787517527
YPR074C	P23254	TKL1	73.80488	1	39.2683922317422
YDL141W	P48445	BPL1	76.36203	1	13.5294381608637
YNR016C	Q00955	ACC1	250.35091	1	13.5294381608637
YAL054C	Q01574	ACS1	79.13997	1	13.3745748266252
YGR087C	P26263	PDC6	61.57964	1	13.3745748266252
YLR044C	P06169	PDC1	61.49468	1	13.3745748266252
YLR134W	P16467	PDC5	61.91138	1	13.3745748266252
YLR153C	P52910	ACS2	75.49079	1	13.3745748266252
YPL061W	P54115	ALD6	54.41344	1	13.3745748266252
YJL121C	P46969	RPE1	25.96689	1	10.3572461517002
YNL241C	P11412	ZWF1	57.5209	1	5.60502868850629
YGR248W	P53315	SOL4	28.44737	1	5.60502868850629
YGR256W	P53319	GND2	53.92235	1	5.60502868850629
YHR163W	P38858	SOL3	27.78417	1	5.60502868850629
YHR183W	P38720	GND1	53.54274	1	5.60502868850629
YNL036W	P53615	NCE103	24.85889	1	3.58867150673412
YOR095C	Q12189	RKI1	28.25777	1	2.98393535788258
YDR226W	P07170	ADK1	24.2546	1	2.17444278660801
YAL038W	P00549	CDC19	54.54404	1	2.0850412175781
YOR347C	P52489	PYK2	55.19478	1	2.0850412175781
YGR254W	P00924	ENO1	46.81564	1	1.94488458430865
YHR174W	P00925	ENO2	46.91368	1	1.94488458430865
YKL152C	P00950	GPM1	27.60828	1	1.94488458430865
YMR323W	P42222	ERR3	47.31216	1	1.94488458430865
YOR393W	P0CX10	ERR1	47.32712	1	1.94488458430865
YPL281C	P0CX11	ERR2	47.32712	1	1.94488458430865
YOR283W	Q12040	YOR283W	26.17622	1	1.94488458430865
YMR267W	P28239	PPA2	35.57213	1	1.69425410172263
YFR053C	P04806	HXK1	53.73784	1	1.26172511253407
YCL040W	P17709	GLK1	55.37689	1	1.26172511253402
YGL253W	P04807	HXK2	53.9419	1	1.26172511253402
YLR446W	Q06204	YLR446W	48.96875	1	1.26172511253402
YCR012W	P00560	PGK1	44.73787	1	1.17093031628337
YGR192C	P00359	TDH3	35.74626	1	1.17093031628337
YJL052W	P00360	TDH1	35.74956	1	1.17093031628337
YJR009C	P00358	TDH2	35.84645	1	1.17093031628337
YDR050C	P00942	TPI1	26.79508	1	1.0667483652899
YGR240C	P16861	PFK1	107.96906	1	1.06000605506962
YKL060C	P14540	FBA1	39.62024	1	1.06000605506962
YMR205C	P16862	PFK2	104.61673	1	1.06000605506962
YKL067W	P36010	YNK1	17.16647	0	0.152236217168966
YOR222W		ODC2	NaN	0	0.152078618439096
YPL134C		ODC1	NaN	0	0.152078618439096
YGL062W	P11154	PYC1	130.09827	0	0.152000017489484
YBR218C	P32327	PYC2	130.16549	0	0.152000017489484
YOL126C	P22133	MDH2	40.7305	0	0.151370105688723
YPR021C		AGC1	NaN	0	0.150026398918053
YKL029C	P36013	MAE1	74.37529	0	0.149023831362395
YOL140W	P18544	ARG8	46.68082	0	0.149020692148073
YOR130C		ORT1	NaN	0	0.149020692148073
YMR062C	Q04728	ARG7	47.84821	0	0.149020692148073
YER069W	Q01217	ARG5,6	94.86823	0	0.149020692148073
YER141W	P40086	COX15	54.65792	0	0.145891666666667
YLR438W	P07991	CAR2	46.08557	0	0.145625880660693
YCR048W	P25628	ARE1	71.61215	0	0.114117492207582
YDR503C	Q04396	LPP1	31.58604	0	0.107871342070288
YNR019W	P53629	ARE2	74.022	0	0.107676212355105
YOR245C	Q08650	DGA1	47.71075	0	0.085264318532657
