gene_IDs	gene_names	K_score
YBR069C	TAT1	1000
YDR300C	PRO1	1000
YGR191W	HIP1	1000
YKL106W	AAT1	1000
YKR039W	GAP1	1000
YOR323C	PRO2	1000
YBR248C	HIS7	76.8490999512012
YFR025C	HIS2	76.8490999512012
YIL020C	HIS6	76.8490999512012
YCL030C	HIS4	76.8490999512012
YER055C	HIS1	76.8490999512012
YIL116W	HIS5	76.8490999512012
YOR202W	HIS3	76.8490999512012
YNL220W	ADE12	48.7031459763523
YLR028C	ADE16	35.7312601042255
YMR120C	ADE17	35.7312601042255
YBL068W	PRS4	20.0028660500923
YER099C	PRS2	20.0028660500923
YHL011C	PRS3	20.0028660500923
YKL181W	PRS1	20.0028660500923
YOL061W	PRS5	20.0028660500923
YPL262W	FUM1	15.1150717199237
YOR095C	RKI1	8.6546711813815
YPR035W	GLN1	7.14739623525254
YKL085W	MDH1	4.98820106309558
YGR248W	SOL4	4.31164347527456
YGR256W	GND2	4.31164347527456
YHR163W	SOL3	4.31164347527456
YHR183W	GND1	4.31164347527456
YNL241C	ZWF1	4.31164347527456
YDR384C	ATO3	3.08671291024212
YGR121C	MEP1	3.08671291024212
YNL142W	MEP2	3.08671291024212
YPR138C	MEP3	3.08671291024212
YDR226W	ADK1	2.06172047588406
YAL062W	GDH3	1.55333710883029
YOR375C	GDH1	1.55333710883029
YMR267W	PPA2	1.42139730529433
YLL052C	AQY2	1.40187021355317
YPR192W	AQY1	1.40187021355317
YML120C	NDI1	1.16719687213705
YDR516C	EMI2	1.00066848501722
YNL036W	NCE103	0.293729092865628
YBR218C	PYC2	0.29359573528599
YGL062W	PYC1	0.2935957341463
YKL029C	MAE1	0.291189317044947
YMR062C	ARG7	0.291186778809003
YOL140W	ARG8	0.291186778809003
YOR130C	ORT1	0.291186778809003
YER069W	ARG5,6	0.291186778809
YLR438W	CAR2	0.288441877805071
YBR029C	CDS1	0.278162799139612
YOR175C	ALE1	0.265001528775463
YDL052C	SLC1	0.239388049981172
YCR048W	ARE1	0.220003557810056
YDR503C	LPP1	0.207961799331785
YNR019W	ARE2	0.207585614863373
YOR245C	DGA1	0.164378422295059
YCL040W	GLK1	0
YFR053C	HXK1	0
YGL253W	HXK2	0
YOL126C	MDH2	0
YLR446W	YLR446W	0
