genes	enzymes	shortNames	MWs	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage	unique	conectivity	groups	priority	foldChange_yield	foldChange_pRate
YDR007W	P00912	TRP1	24.14425	2	98.4073283981891	tightly_const	2	8.97788096786268e-07	8.97793976406266e-07	8.97788096786268e-07	1	2	0	1	1.00043708333912	1.00044748189167
YDR354W	P07285	TRP4	41.37402	2	98.4073283981891	tightly_const	2	2.13611819795297e-05	2.13613218740476e-05	2.13611819795297e-05	1	4	0	1	1.01809446408285	1.01853272733422
YER090W	P00899	TRP2	56.76706	2	98.4073283981891	tightly_const	2	0.000106805909897648	0.000106806020082412	0.000106805909897648	1	6	0	1	1.13674130480472	1.14044973588241
YGL026C	P00931	TRP5	76.62516	2	98.4073283981891	tightly_const	2	7.98548275468085e-08	7.98553505165888e-08	7.98548275468085e-08	1	5	0	1	1.0001233479481	1.00012628154956
YKL211C	P00937	TRP3	53.48881	2	98.4073283981891	tightly_const	2	0.000112386756029081	0.000112386871971243	0.000112386756029081	1	10	0	1	1.13543976478579	1.13910857846482
YGL148W	P28777	ARO2	40.83793	2	10.8379640483329	tightly_const	2	7.51886351794037e-05	7.51890040964089e-05	7.51886351794037e-05	1	3	0	1	1.12690250521742	1.13031351889547
YDR127W	P08566	ARO1	174.75305	2	10.8379640483329	tightly_const	2	4.14157281353137e-06	4.14159312135478e-06	4.14157281353137e-06	1	14	0	1	1.02876708566731	1.02947133179398
YOR095C	Q12189	RKI1	28.25777	1	6.88128073490966	essential	2	9.08341927040908e-06	0.00209967501735117	9.08369214111673e-06	1	2	0	1	1.02783120650372	1.02851190642539
YNL241C	P11412	ZWF1	57.5209	2	3.02917285282905	tightly_const	2	1.036374638602e-07	1.03671423448659e-07	1.03649882744147e-07	1	5	0	1	1.00187581934636	1.00192051225522
YER099C	P38620	PRS2	34.76468	2	11.1142921323304	opt_isoenz_tight	2	0	9.89644493370105e-05	9.89618435529919e-05	0	6	1	2	1.14121374203542	1.14505894393509
YKL181W	P32895	PRS1	47.04715	2	11.1142921323304	opt_isoenz_tight	2	0	9.89644493370004e-05	9.89618435529919e-05	0	6	0	2	1.19516302780722	1.20073564607374
YBR249C	P32449	ARO4	39.74874	2	10.8379640483329	opt_isoenz_tight	2	0	5.36184248420641e-07	5.36181617617267e-07	0	12	2	2	1.00083751716497	1.00085745051469
YHR163W	P38858	SOL3	27.78417	2	3.02917285282905	opt_isoenz_tight	2	0	6.56033593045316e-06	6.55897202264038e-06	0	5	3	2	1.05743281497695	1.05887898973662
YHR183W	P38720	GND1	53.54274	2	3.02917285282905	opt_isoenz_tight	2	0	1.80228920838208e-06	1.8019145086182e-06	0	6	4	2	1.03038124933312	1.03112620734848
YBL039C	P28274	URA7	64.70953	0	0.290172154848944	subOpt_isoenz	0	0	4.15289346525e-08	0	0	12	8	2	0.999999999999997	0.999999999999995
YER070W	P21524	RNR1	99.56021	0	0.28352101870931	subOpt_isoenz	0	0	4.87266756816623e-07	0	0	24	9	2	1.00000000000001	1.00000000000001
YIL066C	P21672	RNR3	97.51369	0	0.28352101870931	subOpt_isoenz	0	0	4.87266756815786e-07	0	0	24	9	2	1	0.999999999999998
YJL026W	P09938	RNR2	46.14681	0	0.28352101870931	subOpt_isoenz	0	0	4.87266756815832e-07	0	0	24	9	2	0.999999999999999	0.999999999999998
YBR218C	P32327	PYC2	130.16549	0	0.269591258729563	subOpt_isoenz	0	0	4.75073886927621e-07	0	0	8	10	2	1.00000000000001	0.999999999999996
YNR019W	P53629	ARE2	74.022	0	0.207585615716522	subOpt_isoenz	0	0	0.00079808051405953	0	1	84	0	2	0.999999999999998	0.999999999999996
YOR245C	Q08650	DGA1	47.71075	0	0.164378423574783	subOpt_isoenz	0	0	1.01734623712517e-07	0	1	122	0	2	1.00000000000002	1.00000000000002
YOR347C	P52489	PYK2	55.19478	0	0.0265244340347262	subOpt_isoenz	0	0	1.62990162674855e-07	0	1	6	0	2	0.999999999999994	0.999999999999998
YFR053C	P04806	HXK1	53.73784	1	1.63413391428614	opt_isoenz	2	0	6.6829149599212e-07	9.97375838012688e-10	0	12	5	3	1	1
YOR222W		ODC2	NaN	0	0.258832540774519		0	NaN	NaN	NaN	0	6	11	3	1	1
YPL134C		ODC1	NaN	0	0.258832540774519		0	NaN	NaN	NaN	0	6	11	3	1	1
