genes	enzymes	shortNames	MWs	actions	k_scores
YIL013C		PDR11	NaN	1	1000
YOR011W		AUS1	NaN	1	1000
YBR117C	P33315	TKL2	75.02862	1	81.114458323718
YPR074C	P23254	TKL1	73.80488	1	68.5102184196622
YGL012W	P25340	ERG4	56.03889	1	24.9179677587659
YGR060W	P53045	ERG25	36.47869	1	24.9179677587659
YGR175C	P32476	ERG1	55.12537	1	24.9179677587659
YHR007C	P10614	ERG11	60.71959	1	24.9179677587659
YHR042W	P16603	NCP1	76.77089	1	24.9179677587659
YHR072W	P38604	ERG7	83.45941	1	24.9179677587659
YHR190W	P29704	ERG9	51.71933	1	24.9179677587659
YNL280C	P32462	ERG24	50.61486	1	24.9179677587659
YGL001C	P53199	ERG26	38.70597	1	24.9179677587659
YLR100W	Q12452	ERG27	39.72421	1	24.9179677587659
YLR450W	P12684	HMG2	115.69085	1	24.9176030734129
YMR208W	P07277	ERG12	48.45901	1	24.9176030734129
YMR220W	P24521	ERG8	50.45437	1	24.9176030734129
YNR043W	P32377	MVD1	44.11544	1	24.9176030734129
YPL117C	P15496	IDI1	33.35113	1	24.9176030734129
YJL167W	P08524	ERG20	40.48289	1	24.9176030734129
YML075C	P12683	HMG1	115.62448	1	24.9176030734129
YHR002W		LEU5	NaN	1	24.6937390029487
YJL121C	P46969	RPE1	25.96689	1	18.093258803439
YGR248W	P53315	SOL4	28.44737	1	9.80447486878765
YGR256W	P53319	GND2	53.92235	1	9.80447486878765
YHR163W	P38858	SOL3	27.78417	1	9.80447486878765
YHR183W	P38720	GND1	53.54274	1	9.80447486878765
YNL241C	P11412	ZWF1	57.5209	1	9.80447486878765
YDR502C	P19358	SAM2	42.2555	1	6.77093499460321
YER043C	P39954	SAH1	49.12498	1	6.77093499460321
YJR105W	P47143	ADO1	36.37191	1	6.77093499460321
YLR180W	P10659	SAM1	41.81793	1	6.77093499460321
YBR221C	P32473	PDB1	40.0532	1	5.97895671519983
YER178W	P16387	PDA1	46.34261	1	5.97895671519983
YGR193C	P16451	PDX1	45.36125	1	5.97895671519983
YNL071W	P12695	LAT1	51.81762	1	5.97895671519983
YOR095C	Q12189	RKI1	28.25777	1	5.2327084986467
YER091C	P05694	MET6	85.85892	1	4.63161202215219
YGL125W	P53128	MET13	68.55958	1	4.63161202215219
YPL023C	P46151	MET12	73.94088	1	4.63161202215219
YGL080W		MPC1	NaN	1	4.10035030385733
YGR243W		MPC3	NaN	1	4.10035030385733
YHR162W		MPC2	NaN	1	4.10035030385733
YFR053C	P04806	HXK1	53.73784	1	2.66516092333058
YCL040W	P17709	GLK1	55.37689	1	2.66516092333057
YGL253W	P04807	HXK2	53.9419	1	2.66516092333057
YLR446W	Q06204	YLR446W	48.96875	1	2.66516092333057
YAL038W	P00549	CDC19	54.54404	1	2.06688245113483
YOR347C	P52489	PYK2	55.19478	1	2.06688245113483
YGR254W	P00924	ENO1	46.81564	1	1.93830502697613
YHR174W	P00925	ENO2	46.91368	1	1.93830502697613
YKL152C	P00950	GPM1	27.60828	1	1.93830502697613
YMR323W	P42222	ERR3	47.31216	1	1.93830502697613
YOR393W	P0CX10	ERR1	47.32712	1	1.93830502697613
YPL281C	P0CX11	ERR2	47.32712	1	1.93830502697613
YOR283W	Q12040	YOR283W	26.17622	1	1.93830502697613
YML120C	P32340	NDI1	57.24915	1	1.3836298580953
YER069W	Q01217	ARG5,6	94.86823	0	0.293629976057907
YMR062C	Q04728	ARG7	47.84821	0	0.293629976057907
YOL140W	P18544	ARG8	46.68082	0	0.293629976057907
YOR130C		ORT1	NaN	0	0.293629976057907
YLR438W	P07991	CAR2	46.08557	0	0.293268938293304
YBL039C	P28274	URA7	64.70953	0	0.287343385505403
YJR103W	P38627	URA8	64.50989	0	0.287343385505403
YER070W	P21524	RNR1	99.56021	0	0.264997074046741
YIL066C	P21672	RNR3	97.51369	0	0.264997074046741
YJL026W	P09938	RNR2	46.14681	0	0.264997074046741
YGR180C	P49723	RNR4	40.05407	0	0.262997718236203
YCR048W	P25628	ARE1	71.61215	0	0.220003558239873
YDR503C	Q04396	LPP1	31.58604	0	0.207961799844477
YNR019W	P53629	ARE2	74.022	0	0.207585615361544
YOR245C	Q08650	DGA1	47.71075	0	0.164378423042316
YDL066W	P21954	IDP1	48.18986	0	0.08379
YDR148C	P19262	KGD2	50.43011	0	0.08379
YIL125W	P20967	KGD1	114.41496	0	0.08379
YAL062W	P39708	GDH3	49.62653	0	0.0617486488756686
YOR375C	P07262	GDH1	49.56931	0	0.0617486488756686
YAL044C	P39726	GCV3	18.79276	0	0.0482249023371141
YDR019C	P48015	GCV1	44.46849	0	0.0482249023371141
YMR189W	P49095	GCV2	114.45033	0	0.0482249023371141
YER081W	P40054	SER3	51.1927	0	0.0392243474223875
YGR208W	P42941	SER2	34.20684	0	0.0392243474223875
YIL074C	P40510	SER33	51.18777	0	0.0392243474223875
YOR184W	P33330	SER1	43.41501	0	0.0392243474223875
YLR058C	P37291	SHM2	52.21793	0	0.0209165258939429
YOR388C	Q08911	FDH1	41.7138	0	0.0128879690667342
YBR263W	P37292	SHM1	53.68589	0	0.0126597339736228
