genes	enzymes	shortNames	MWs	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage	unique	conectivity	groups	priority	foldChange_yield	foldChange_pRate
YDR300C	P32264	PRO1	47.16164	2	1000	tightly_const	2	2.10064905392369e-07	2.1042676360381e-07	2.10188074822914e-07	1	4	0	1	1.00386062341358	1.00386117849112
YOR323C	P54885	PRO2	49.73991	2	1000	tightly_const	2	2.72290935621929e-08	2.72787813392374e-08	2.72466152002226e-08	1	6	0	1	1.00052781108963	1.00052788672593
YJR069C	P47119	HAM1	22.09268	1	1000	essential	2	2.68817543736618e-11	4.24553668635275e-09	1.5728024228112e-10	1	16	0	1	1.00000135326872	1.00000135346255
CHI1	Q8VZW3	CHI1	23.332	2	1000	tightly_const	2	0.00255595804328627	0.00255595804329139	0.00255595804328627	1	3	0	1	1.49201705052078	1.49212219998946
CHS3	P13114	CHS3	43.116	2	1000	tightly_const	2	0.000709988345357298	0.000709988345358718	0.000709988345357298	1	6	0	1	1.20376640337454	1.20380153595183
4CL3	Q9S777	4CL3	61.311	2	1000	tightly_const	2	8.4522422066345e-07	8.45224220665141e-07	8.4522422066345e-07	1	6	0	1	1.00028663913218	1.00028668019819
TAL	A0A1M4NET9	TAL	55.539	2	1000	tightly_const	2	2.5626453402555e-08	2.5631348207896e-08	2.56313482078447e-08	1	3	0	1	1.00000787179196	1.00000787291944
YLR044C	P06169	PDC1	61.49468	2	11.8805433733427	tightly_const	2	8.72882573102587e-07	8.76314701638659e-07	8.74566432320022e-07	1	17	0	1	1.09072775326554	1.16821903857562
YAL038W	P00549	CDC19	54.54404	2	2.44737085358528	essential	2	1.90715398227053e-06	2.0462186338814e-06	2.04600230628809e-06	0	6	2	1	1.04286366569677	1.10033420448229
YGR254W	P00924	ENO1	46.81564	2	2.29803033049288	essential	2	1.92172384797803e-06	2.10584284195223e-06	2.10373853874075e-06	0	5	3	1	1.03060261544123	1.08739545840899
YLR354C	P15019	TAL1	37.0359	2	1.24479983477861	tightly_const	2	3.3013774429115e-06	3.30544603886657e-06	3.30300730715046e-06	0	6	4	1	1.04819039176271	1.10595536557312
YCR012W	P00560	PGK1	44.73787	2	1.22023810497749	tightly_const	2	9.15339310291898e-07	9.17413722549768e-07	9.15432020716563e-07	1	4	0	1	0.9836234510836	1.03575746544564
YJL052W	P00360	TDH1	35.74956	2	1.22023810497749	tightly_const	2	1.69383964664914e-05	1.69442849122866e-05	1.69418049634528e-05	0	8	5	1	1.43896522782459	1.54186346983661
YMR205C	P16862	PFK2	104.61673	2	1.21952105818126	tightly_const	2	6.91694659763299e-07	6.94679026013078e-07	6.94643556135322e-07	1	9	0	1	1.00767511860579	1.06320083556049
YDR050C	P00942	TPI1	26.79508	2	1.21763983897042	essential	2	2.85356097837226e-08	3.19121402442826e-08	2.85413514068284e-08	1	2	0	1	1.0006213122372	1.0006214012807
YDR502C	P19358	SAM2	42.2555	0	0.293827460547136	subOpt_isoenz	0	0	2.09567183538061e-09	0	0	7	7	2	1	1
YBR218C	P32327	PYC2	130.16549	0	0.280143751415194	subOpt_isoenz	0	0	5.79163468911764e-07	0	0	8	9	2	1.00000011374141	1.0000001137577
YBL039C	P28274	URA7	64.70953	0	0.258201785040243	subOpt_isoenz	0	0	3.67192702511362e-08	0	0	12	11	2	0.999999999999936	0.999999999999937
YMR145C	P40215	NDE1	62.77345	0	0.220105206147998	subOpt_isoenz	0	0	8.11511431569917e-08	0	0	6	12	2	0.999999999999936	0.999999999999937
YLR438W	P07991	CAR2	46.08557	0	0	subOpt_isoenz	0	0	1.6008823815715e-11	0	1	4	0	2	1.00000203394296	0.999998613145315
YMR246W	P47912	FAA4	77.26612	0	0	subOpt_isoenz	0	0	1.25455983857266e-09	0	1	48	0	2	1.00000203394343	0.999998613145315
YOR317W	P30624	FAA1	77.86529	0	0	subOpt_isoenz	0	0	1.24420146757403e-09	0	1	52	0	2	1	1
YDR452W	Q04119	PPN1	78.34335	1	1000	opt_isoenz	2	0	1.13278229167478e-09	1.59461388661699e-12	1	11	0	3	1.00000004865399	1.00000004866097
YOR222W		ODC2	NaN	0	0.262902990012781		0	NaN	NaN	NaN	0	6	10	3	1	1
YPL134C		ODC1	NaN	0	0.262902990012781		0	NaN	NaN	NaN	0	6	10	3	1	1
YER053C		PIC2	NaN	0	0.156779585513182		0	NaN	NaN	NaN	0	4	17	3	1	1
YJR077C		MIR1	NaN	0	0.156779585513182		0	NaN	NaN	NaN	0	4	17	3	1	1
