genes	enzymes	shortNames	MWs	pathways	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage	unique	conectivity	groups	priority	foldChange_yield	foldChange_pRate	FCC
hmaS	Q5J1Q8	hmaS	36.597		OE	1000	tightly_const	2	2.30227930065436e-05	2.30228850852703e-05	2.30227930065436e-05	1	7	0	1	1.05642923271531	1.06062843160086	0.113247472151714
YBR166C	P20049	TYR1	50.92272	sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics	OE	37.9910516903889	tightly_const	2	3.29594347712634e-06	3.29595572347206e-06	3.29594347712634e-06	1	5	0	1	1.0116453106681	1.01247255418612	0.0221569232159021
YDR127W	P08566	ARO1	174.75305	sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	OE	16.5941985309034	tightly_const	2	5.61277354989252e-06	5.61279395473854e-06	5.61277354989252e-06	1	14	0	1	1.07847804801571	1.08444917669312	0.10964638444341
YGL148W	P28777	ARO2	40.83793	sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	OE	16.5941985309034	tightly_const	2	0.000101897709345749	0.000101898079787751	0.000101897709345749	1	3	0	1	1.41578103295197	1.45832298657571	0.537593128868925
YMR205C	P16862	PFK2	104.61673	sce00010  Glycolysis / Gluconeogenesis sce00030  Pentose phosphate pathway sce00051  Fructose and mannose metabolism sce00052  Galactose metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids sce03018  RNA degradation	OE	1.04715562734568	essential	2	3.35558856022176e-07	6.03461656182824e-07	6.03452371811179e-07	1	9	0	1	1.03791922912234	1.0643163272119	0.0102080862353404
YBR249C	P32449	ARO4	39.74874	sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	OE	16.5941985309034	opt_isoenz_tight	2	0	7.26650738137824e-07	7.2664809645945e-07	1	12	0	2	1.00217894236838	1.00233217683129	0
YBL039C	P28274	URA7	64.70953	sce00240  Pyrimidine metabolism	KD	0.289476890587469	subOpt_isoenz	0	0	4.15293578233995e-08	0	0	12	1	2	0.9999999999999	0.999999999999879	0
YGR248W	P53315	SOL4	28.44737	sce00030  Pentose phosphate pathway sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	KD	0.287217645355254	subOpt_isoenz	0	0	1.36289592942062e-06	0	0	5	2	2	1.00000000000004	1.00000000000003	0
YGR256W	P53319	GND2	53.92235	sce00030  Pentose phosphate pathway sce00480  Glutathione metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	KD	0.287217645355254	subOpt_isoenz	0	0	3.74421775315375e-07	0	0	6	3	2	1.00000000000004	1.00000000000003	0
YER070W	P21524	RNR1	99.56021	sce00230  Purine metabolism sce00240  Pyrimidine metabolism sce00480  Glutathione metabolism	KD	0.281617686442573	subOpt_isoenz	0	0	4.8726775203561e-07	0	0	24	4	2	0.999999999999964	0.999999999999954	0
YIL066C	P21672	RNR3	97.51369	sce00230  Purine metabolism sce00240  Pyrimidine metabolism sce00480  Glutathione metabolism	KD	0.281617686442573	subOpt_isoenz	0	0	4.87267752036098e-07	0	0	24	4	2	0.99999999999997	0.999999999999954	0
YJL026W	P09938	RNR2	46.14681	sce00230  Purine metabolism sce00240  Pyrimidine metabolism sce00480  Glutathione metabolism	KD	0.281617686442573	subOpt_isoenz	0	0	4.87267752037037e-07	0	0	24	4	2	0.999999999999929	0.999999999999919	0
YBR218C	P32327	PYC2	130.16549	sce00020  Citrate cycle (TCA cycle) sce00620  Pyruvate metabolism sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	KD	0.248596282963265	subOpt_isoenz	0	0	4.75074874324971e-07	0	0	8	6	2	1.00000000000002	1.00000000000003	0
YNR019W	P53629	ARE2	74.022	sce00100  Steroid biosynthesis	KD	0.20758561565553	subOpt_isoenz	0	0	0.00108350589778179	0	1	84	0	2	0.999999999999968	0.999999999999954	0
YOR245C	Q08650	DGA1	47.71075	sce00561  Glycerolipid metabolism	KD	0.164378423483295	subOpt_isoenz	0	0	1.01742351147323e-07	0	1	122	0	2	1.00000000000003	1.00000000000002	0
YBR117C	P33315	TKL2	75.02862	sce00030  Pentose phosphate pathway sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	KO	0	subOpt_isoenz	0	0	0.00107023312349654	0	1	10	0	2	0.999999999999987	0.999999999999975	0
