genes	enzymes	shortNames	MWs	actions	k_scores
YBL015W	P32316	ACH1	58.71137	1	1000
YBR145W	P38113	ADH5	37.64764	1	1000
YBR252W	P33317	DUT1	15.30716	1	1000
YDR300C	P32264	PRO1	47.16164	1	1000
YEL038W	P32626	UTR4	25.18714	1	1000
YER170W	P26364	ADK2	25.19373	1	1000
YLR017W	Q07938	MEU1	37.85618	1	1000
YLR209C	Q05788	PNP1	33.7546	1	1000
YMR009W	Q03677	ADI1	20.8791	1	1000
YMR278W	Q03262	PRM15	71.06819	1	1000
YNL141W	P53909	AAH1	39.63458	1	1000
YOL086C	P00330	ADH1	36.84874	1	1000
YOR323C	P54885	PRO2	49.73991	1	1000
YJR024C	P47095	MDE1	27.42662	1	1000
YPR118W	Q06489	MRI1	45.01983	1	1000
YJR069C	P47119	HAM1	22.09268	1	1000
YDR452W	Q04119	PPN1	78.34335	1	1000
NAS2	Q9FKT9	NAS2	35.679	1	1000
YGR087C	P26263	PDC6	61.57964	1	15.8854140399597
YLR044C	P06169	PDC1	61.49468	1	15.8854140399597
YLR134W	P16467	PDC5	61.91138	1	15.8854140399597
YAL038W	P00549	CDC19	54.54404	1	2.41904492140715
YOR347C	P52489	PYK2	55.19478	1	2.41904492140715
YOR283W	Q12040	YOR283W	26.17622	1	2.25466448061968
YGR254W	P00924	ENO1	46.81564	1	2.25466448061968
YHR174W	P00925	ENO2	46.91368	1	2.25466448061968
YKL152C	P00950	GPM1	27.60828	1	2.25466448061968
YMR323W	P42222	ERR3	47.31216	1	2.25466448061968
YOR393W	P0CX10	ERR1	47.32712	1	2.25466448061968
YPL281C	P0CX11	ERR2	47.32712	1	2.25466448061968
YLR354C	P15019	TAL1	37.0359	1	1.23586084578757
YGR043C	P53228	NQM1	37.25314	1	1.23586084578757
YGR240C	P16861	PFK1	107.96906	1	1.20408102722101
YKL060C	P14540	FBA1	39.62024	1	1.20408102722101
YMR205C	P16862	PFK2	104.61673	1	1.20408102722101
YKR067W	P36148	GPT2	83.64407	0	0.152019909851346
YDL022W	Q00055	GPD1	42.8683	0	0.151988899328549
YOL059W	P41911	GPD2	49.42115	0	0.151988899328549
YBL011W	P32784	SCT1	85.69341	0	0.151907639944882
