gene_IDs	gene_names	K_score
YBL015W	ACH1	1000
YDR300C	PRO1	1000
YER170W	ADK2	1000
YOL086C	ADH1	1000
YOR323C	PRO2	1000
YJR069C	HAM1	1000
YDR452W	PPN1	1000
Egt1	Egt1	1000
Egr2	Egt2	1000
YLR044C	PDC1	12.2196195407045
YGR155W	CYS4	3.62312969778974
YAL038W	CDC19	2.44224793314064
YGR254W	ENO1	2.28644687878138
YOR283W	YOR283W	2.28644687878138
YLR354C	TAL1	1.26204530618379
YDR050C	TPI1	1.22642597515049
YKL060C	FBA1	1.22621700336764
YMR205C	PFK2	1.22621700336764
YCR012W	PGK1	1.22505689500347
YJL052W	TDH1	1.22505689500347
YBR196C	PGI1	1.18921805902428
YLL052C	AQY2	0.292847941661431
YPR192W	AQY1	0.292847941661431
YBR221C	PDB1	0.289054735622586
YER178W	PDA1	0.289054735622586
YGR193C	PDX1	0.289054735622586
YNL071W	LAT1	0.289054735622586
YNL036W	NCE103	0.287380225148698
YBR218C	PYC2	0.284121554409123
YGL062W	PYC1	0.284121554409123
YHR002W	LEU5	0.278421322008992
YJR095W	SFC1	0.27783
YKL085W	MDH1	0.275171549567944
YMR267W	PPA2	0.266954253109992
YOR222W	ODC2	0.26526130671434
YPL134C	ODC1	0.26526130671434
YBL039C	URA7	0.258201785040243
YJR103W	URA8	0.258201785040243
YDL066W	IDP1	0.25578
YOL126C	MDH2	0.230595508645418
YKL029C	MAE1	0.22531931211788
YDL085W	NDE2	0.219756704015324
YMR145C	NDE1	0.219756704015324
YDR503C	LPP1	0.207961799911737
Q0045	COX1	0.195254119164851
Q0250	COX2	0.195254119164851
Q0275	COX3	0.195254119164851
YDL067C	COX9	0.195254119164851
YGL187C	COX4	0.195254119164851
YGL191W	COX13	0.195254119164851
YHR051W	COX6	0.195254119164851
YIL111W	COX5B	0.195254119164851
YLR038C	COX12	0.195254119164851
YMR256C	COX7	0.195254119164851
YLR395C	COX8	0.195254119164851
Q0105	COB	0.194122916166389
YBL045C	COR1	0.194122916166386
YDR529C	QCR7	0.194122916166386
YEL024W	RIP1	0.194122916166386
YFR033C	QCR6	0.194122916166386
YGR183C	QCR9	0.194122916166386
YHR001W-A	QCR10	0.194122916166386
YJL166W	QCR8	0.194122916166386
YOR065W	CYT1	0.194122916166386
YPR191W	QCR2	0.194122916166386
YPR021C	AGC1	0.188206271058758
YOL077W-A	ATP19	0.187114339525102
Q0080	ATP8	0.187114339525102
Q0085	ATP6	0.187114339525102
Q0130	OLI1	0.187114339525102
YBL099W	ATP1	0.187114339525102
YBR039W	ATP3	0.187114339525102
YDL004W	ATP16	0.187114339525102
YDR298C	ATP5	0.187114339525102
YDR322C-A	TIM11	0.187114339525102
YDR377W	ATP17	0.187114339525102
YJR121W	ATP2	0.187114339525102
YKL016C	ATP7	0.187114339525102
YML081C-A	ATP18	0.187114339525102
YPL078C	ATP4	0.187114339525102
YPL271W	ATP15	0.187114339525102
YPR020W	ATP20	0.187114339525102
YLR295C	ATP14	0.1871143395251
YER053C	PIC2	0.156969340385437
YJR077C	MIR1	0.156969340385437
YER069W	ARG5,6	0.145193082637183
YMR062C	ARG7	0.145193082637183
YOR130C	ORT1	0.145193082637183
YOL140W	ARG8	0.145193082637183
YAL062W	GDH3	0.134375411072413
YOR375C	GDH1	0.134375411072413
YML120C	NDI1	0.108415335865552
YFL018C	LPD1	0.0793776451351892
YER081W	SER3	0.038553962361279
YGR208W	SER2	0.038553962361279
YIL074C	SER33	0.038553962361279
YOR184W	SER1	0.038553962361279
YLR058C	SHM2	0.0163412196452968
YBR263W	SHM1	0.00768817360421393
YGR204W	ADE3	0.00482556129237671
YAL044C	GCV3	0.0038440829812482
YDR019C	GCV1	0.0038440829812482
YMR189W	GCV2	0.00384408298124777
YDR148C	KGD2	0
YER070W	RNR1	0
YGR180C	RNR4	0
YIL066C	RNR3	0
YIL125W	KGD1	0
YJL026W	RNR2	0
YLR438W	CAR2	0
YMR246W	FAA4	0
YOR317W	FAA1	0
YOR388C	FDH1	0
