genes	enzymes	shortNames	MWs	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage	unique	conectivity	groups	priority
Pa_5_5120	3DSD	Pa_5_5120	40.48	2	1000	tightly_const	2	9.81828711252501e-07	9.81828711254465e-07	9.81828711252501e-07	1	3	0	1
ECL_01944	A0A0H3CJN8	ECL_01944	53.541	2	1000	tightly_const	2	1.32481420771671e-06	1.32481420771936e-06	1.32481420771671e-06	1	4	0	1
HQD2	P86029	HQD2	33.8	2	1000	tightly_const	2	7.5593278827429e-07	7.55932788275802e-07	7.5593278827429e-07	1	4	0	1
ARO4K229L	P32449ly	ARO4K229L	39.7487	2	20.7243577340704	tightly_const	2	0.00148692322768942	0.00148692668585897	0.00148692322768942	1	5	0	1
YOR095C	Q12189	RKI1	28.25777	1	7.23633281935399	essential	2	4.53692899603297e-06	0.000947953074446009	4.536928996033e-06	1	2	0	1
YJL121C	P46969	RPE1	25.96689	1	7.19412876106474	essential	2	3.83945172534139e-07	0.00102703189910233	3.83945172534142e-07	1	2	0	1
YBR196C	P12709	PGI1	61.29832	1	1.10778840724759	essential	2	3.79300609470454e-07	0.000435283119900008	3.79301117105948e-07	1	2	0	1
YDR516C	Q04409	EMI2	55.92028	2	1.01893655688126	essential	2	1.82038992585485e-07	1.86179512541258e-07	1.85859653757455e-07	1	4	0	1
YIR032C	P32459	DAL3	21.72644	0	-0	unusable	0	0	0	0	1	6	0	1
YBL039C	P28274	URA7	64.70953	0	0.28052096681055	subOpt_isoenz	0	0	4.15340269919449e-08	0	0	12	3	2
YOR317W	P30624	FAA1	77.86529	0	0.274053937877179	subOpt_isoenz	0	0	0.000342549753422278	0	1	52	0	2
YBR218C	P32327	PYC2	130.16549	0	0.263899979194181	subOpt_isoenz	0	0	7.39280666413317e-07	0	0	8	5	2
YER070W	P21524	RNR1	99.56021	0	0.252200248041634	subOpt_isoenz	0	0	4.87258589291578e-07	0	0	24	6	2
YIL066C	P21672	RNR3	97.51369	0	0.252200248041634	subOpt_isoenz	0	0	4.87258589292231e-07	0	0	24	6	2
YJL026W	P09938	RNR2	46.14681	0	0.252200248041634	subOpt_isoenz	0	0	4.87258589292874e-07	0	0	24	6	2
YCL040W	P17709	GLK1	55.37689	0	0	subOpt_isoenz	0	0	2.25380245085145e-08	0	1	6	0	2
YGL253W	P04807	HXK2	53.9419	0	0	subOpt_isoenz	0	0	4.87404593781861e-08	0	0	12	8	2
YIR027C	P32375	DAL1	50.1258	0	-0	subOpt_isoenz	0	0	0.000531839154086482	0	1	4	0	2
YIR029W	P25335	DAL2	38.71329	0	-0	subOpt_isoenz	0	0	0.000688622896857005	0	1	4	0	2
YLR446W	Q06204	YLR446W	48.96875	0	0	subOpt_isoenz	0	0	3.69784646587371e-06	0	1	20	0	2
YPR074C	P23254	TKL1	73.80488	1	391.458660256468	opt_isoenz	2	0	0.000362991529668645	1.78430570350893e-06	0	10	1	3
YGR254W	P00924	ENO1	46.81564	1	1.04913241011896	opt_isoenz	2	0	0.000570428099880145	9.84090305054831e-07	0	5	2	3
YOR283W	Q12040	YOR283W	26.17622	1	1.04913241011896	opt_isoenz	2	0	0.00101871078660288	2.71717719817939e-07	1	4	0	3
YGL080W		MPC1	NaN	0	0.273548438155047		0	NaN	NaN	NaN	0	4	4	3
YGR243W		MPC3	NaN	0	0.273548438155047		0	NaN	NaN	NaN	0	4	4	3
YHR162W		MPC2	NaN	0	0.273548438155047		0	NaN	NaN	NaN	0	4	4	3
