genes	enzymes	shortNames	MWs	pathways	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage	unique	conectivity	groups	priority	foldChange_yield	foldChange_pRate
fdyG	P39831	fdyG	27.249		2	1000	tightly_const	2	2.29633724422449e-06	2.29633724422908e-06	2.29633724422449e-06	1	5	0	1	0.999701596101712	1.00611262889948
YJL121C	P46969	RPE1	25.96689	sce00030  Pentose phosphate pathway sce00040  Pentose and glucuronate interconversions sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	1	13.3479738535005	essential	2	8.94836083307715e-07	0.00322148365055875	8.94947557924131e-07	1	2	0	1	0.999901597587823	1.00200708885544
A7U8C7	A7U8C7	A7U8C7	61.24		2	12.0563608428551	tightly_const	2	3.96292505468247e-05	3.96309328409852e-05	3.9629881407132e-05	1	4	0	1	1.04273772553759	1.28385051878016
YNL241C	P11412	ZWF1	57.5209	sce00030  Pentose phosphate pathway sce00480  Glutathione metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	2	7.54082734473669	tightly_const	2	2.49835552684925e-07	2.49870574333882e-07	2.49865535591405e-07	1	5	0	1	0.999940906820232	1.00120429546708
YOR095C	Q12189	RKI1	28.25777	sce00030  Pentose phosphate pathway sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	1	4.13988997427006	essential	2	5.88632922124675e-06	0.00296537802675173	5.88698819948438e-06	1	2	0	1	1.01047203873772	1.01345979807009
YDR516C	Q04409	EMI2	55.92028	sce00010  Glycolysis / Gluconeogenesis sce00051  Fructose and mannose metabolism sce00052  Galactose metabolism sce00500  Starch and sucrose metabolism sce00520  Amino sugar and nucleotide sugar metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	2	1.05739220250395	tightly_const	2	1.86172055034027e-07	1.86179981655562e-07	1.86178000000186e-07	1	4	0	1	0.9999549958929	1.00091688957704
YHR183W	P38720	GND1	53.54274	sce00030  Pentose phosphate pathway sce00480  Glutathione metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	2	7.54082734473669	opt_isoenz_tight	2	0	4.34390684348274e-06	4.34381903641116e-06	1	6	0	2	1.01168813780215	1.02006363705664
YHR163W	P38858	SOL3	27.78417	sce00030  Pentose phosphate pathway sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	2	7.54082734473669	opt_isoenz_tight	2	0	1.58118286517338e-05	1.58115090338453e-05	1	5	0	2	1.01537450586273	1.03861492538802
YGL062W	P11154	PYC1	130.09827	sce00020  Citrate cycle (TCA cycle) sce00620  Pyruvate metabolism sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	2	3.88038584084812	opt_isoenz_tight	2	0	5.19815249558833e-06	5.19760474590773e-06	1	8	0	2	1.00617059054069	1.05999757409133
YAL038W	P00549	CDC19	54.54404	sce00010  Glycolysis / Gluconeogenesis sce00230  Purine metabolism sce00620  Pyruvate metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	2	2.03456383209816	opt_isoenz_tight	2	0	1.56647966841807e-06	1.56646056282599e-06	1	6	0	2	0.995679097316674	1.01031719312129
YOR317W	P30624	FAA1	77.86529	sce00061  Fatty acid biosynthesis sce00071  Fatty acid degradation sce01212  Fatty acid metabolism sce04146  Peroxisome	0	0.287540810214528	subOpt_isoenz	0	0	0.00107419585132029	0	1	52	0	2	1.00000000000001	0.999999999999997
YBL039C	P28274	URA7	64.70953	sce00240  Pyrimidine metabolism	0	0.276354137706574	subOpt_isoenz	0	0	4.15321584683009e-08	0	0	12	3	2	0.999999999999998	1
YER070W	P21524	RNR1	99.56021	sce00230  Purine metabolism sce00240  Pyrimidine metabolism sce00480  Glutathione metabolism	0	0.245693275580922	subOpt_isoenz	0	0	4.87270370374074e-07	0	0	24	4	2	1.00000000000001	0.999999999999999
YIL066C	P21672	RNR3	97.51369	sce00230  Purine metabolism sce00240  Pyrimidine metabolism sce00480  Glutathione metabolism	0	0.245693275580922	subOpt_isoenz	0	0	4.87270370369603e-07	0	0	24	4	2	1.00000000000001	1
