genes	enzymes	shortNames	MWs	actions	k_scores
YBR068C		BAP2	NaN	1	1000
YBR252W	P33317	DUT1	15.30716	1	1000
YCL025C		AGP1	NaN	1	1000
YDR046C		BAP3	NaN	1	1000
YKR039W		GAP1	NaN	1	1000
YMR241W		YHM2	NaN	1	1000
YOL020W		TAT2	NaN	1	1000
YJR069C	P47119	HAM1	22.09268	1	1000
YNL316C	P32452	PHA2	38.22484	1	31.551085100252
YPR060C	P32178	ARO7	29.7468	1	17.9750433096372
YDR127W	P08566	ARO1	174.75305	1	16.0599805246703
YBR249C	P32449	ARO4	39.74874	1	16.0599805246703
YDR035W	P14843	ARO3	41.06952	1	16.0599805246703
YGL148W	P28777	ARO2	40.83793	1	16.0599805246703
YOR095C	Q12189	RKI1	28.25777	1	5.30328911818223
YHR183W	P38720	GND1	53.54274	1	5.06759151673349
YGR248W	P53315	SOL4	28.44737	1	5.06759151673349
YGR256W	P53319	GND2	53.92235	1	5.06759151673349
YHR163W	P38858	SOL3	27.78417	1	5.06759151673349
YNL241C	P11412	ZWF1	57.5209	1	5.06759151673349
YPR021C		AGC1	NaN	1	4.69122691486175
YJL121C	P46969	RPE1	25.96689	1	4.66889447147079
YOR283W	Q12040	YOR283W	26.17622	1	1.30620509570322
YGR254W	P00924	ENO1	46.81564	1	1.30620509570322
YHR174W	P00925	ENO2	46.91368	1	1.30620509570322
YKL152C	P00950	GPM1	27.60828	1	1.30620509570322
YMR323W	P42222	ERR3	47.31216	1	1.30620509570322
YOR393W	P0CX10	ERR1	47.32712	1	1.30620509570322
YPL281C	P0CX11	ERR2	47.32712	1	1.30620509570322
YDR516C	Q04409	EMI2	55.92028	1	1.00031145608427
YBL039C	P28274	URA7	64.70953	0	0.146762247602627
YJR103W	P38627	URA8	64.50989	0	0.146762247602627
YER141W	P40086	COX15	54.65792	0	0.145891666666667
YBR029C	P38221	CDS1	51.82218	0	0.142126357152597
YNL036W	P53615	NCE103	24.85889	0	0.13780152031094
YER070W	P21524	RNR1	99.56021	0	0.136792520295365
YIL066C	P21672	RNR3	97.51369	0	0.136792520295365
YJL026W	P09938	RNR2	46.14681	0	0.136792520295365
YGR180C	P49723	RNR4	40.05407	0	0.134345312158207
YOR175C	Q08548	ALE1	72.22714	0	0.134250540590839
YOR222W		ODC2	NaN	0	0.134076215589256
YPL134C		ODC1	NaN	0	0.134076215589256
YBR218C	P32327	PYC2	130.16549	0	0.130565985530597
YGL062W	P11154	PYC1	130.09827	0	0.130565984981659
YDL052C	P33333	SLC1	33.88654	0	0.118124901902847
YCR048W	P25628	ARE1	71.61215	0	0.114117492005005
YLR304C	P19414	ACO1	85.36736	0	0.112987793410517
YDR503C	Q04396	LPP1	31.58604	0	0.107871341828651
YNR019W	P53629	ARE2	74.022	0	0.107676212120311
YOL126C	P22133	MDH2	40.7305	0	0.102931892272598
YOR245C	Q08650	DGA1	47.71075	0	0.0852643181804671
YKL029C	P36013	MAE1	74.37529	0	0
