genes	enzymes	shortNames	MWs	actions	k_scores	OE	minUsage	maxUsage	pUsage	foldChange
YDR300C	P32264	PRO1	47.16164	2	1000	2	0	1.09600245373479e-07	1.0902612724658e-07	1.00000100000101
YEL047C	P32614	FRD1	50.84351	1	1000	2	2.1111518502345e-05	0.00171496628765016	2.11117331442408e-05	1.00000100000101
YER073W	P40047	ALD5	56.69214	2	1000	2	0	2.09849349406979e-07	2.09784355389639e-07	1.000001000001
YIL099W	P08019	SGA1	61.46231	2	1000	2	0	1.27554860072166e-07	1.27445692981694e-07	1.00000100000101
YLR011W	Q07923	LOT6	21.2804	1	1000	2	1.72929707479891e-05	0.000968744012009487	1.72936549909586e-05	1.00000100000101
YMR170C	P47771	ALD2	55.18718	1	1000	2	0	2.3765292231614e-07	0	1.00000100000101
YNL037C	P28834	IDH1	39.32357	2	1000	2	2.04420442317573e-06	2.12850117193437e-06	2.04466649185092e-06	1.000001000001
YOR136W	P28241	IDH2	39.73903	2	1000	2	2.04420442317573e-06	2.12850117193437e-06	2.04466649185092e-06	1.000001000001
YOR323C	P54885	PRO2	49.73991	2	1000	2	0	1.42074459464434e-08	1.41330231905917e-08	1.000001000001
YOR374W	P46367	ALD4	56.72295	1	1000	2	0	2.09877376039849e-07	0	1.000001000001
YMR110C	Q04458	HFD1	59.97826	1	1000	2	0	0.00143607583305915	0	1.00000100000101
YDR038C	Q12691	ENA5	120.29497	1	1000	2	0	1.88093449010247e-06	1.33966341565929e-09	1.000001000001
YDR039C	Q01896	ENA2	120.31602	1	1000	2	0	1.88093449010247e-06	0	1.000001000001
YDR040C	P13587	ENA1	120.35609	1	1000	2	0	1.88093449010247e-06	0	1.000001000001
YJL137C	P47011	GLG2	44.54552	2	26.7735497384374	2	0	7.25030522584013e-07	3.64468365869944e-07	1.00000100000101
YLR258W	P27472	GSY2	80.07802	2	26.7735497384374	2	0	7.25030526191991e-07	3.64468365869944e-07	1.00000100000101
YFR015C	P23337	GSY1	80.50931	1	26.7735497384374	2	0	7.25030522584063e-07	0	1.00000100000101
YKR058W	P36143	GLG1	69.72308	1	26.7735497384374	2	0	7.25030526192065e-07	0	1.000001000001
YOL126C	P22133	MDH2	40.7305	1	12.3822360046805	2	3.87578718042003e-08	0.0021144614096919	3.87582575086932e-08	1.00000100000099
YKL035W	P32861	UGP1	55.98734	1	6.57395006423335	2	0	0.00154006788195238	0	1.00000100000096
YKL127W	P33401	PGM1	63.11105	1	6.57395006423335	2	0	0.00136539864423343	0	1.00000100000097
YMR105C	P37012	PGM2	63.08769	1	6.57395006423335	2	0	0.00136590508730033	7.97021851062345e-07	1.00000100000101
YHL012W	P38709	YHL012W	55.99958	1	6.57395006423335	2	0	0.00153972961462647	1.83389855077797e-06	1.00000100000101
YBR218C	P32327	PYC2	130.16549	1	3.92028443268482	2	0	5.84301768868285e-06	0	1.00000100000101
YGL062W	P11154	PYC1	130.09827	2	3.92028443268481	2	0	5.8430176886832e-06	5.82187336898482e-06	1.00000100000101
YNL036W	P53615	NCE103	24.85889	1	2.95857881134619	2	0	0.00346441290852271	3.80647685446936e-10	1.00000099999962
YAL038W	P00549	CDC19	54.54404	2	1.97395991697545	2	0	1.62633213101008e-06	1.6263131378355e-06	1.000001000001
YOR347C	P52489	PYK2	55.19478	1	1.97395991697545	2	0	1.62633213492728e-06	0	1.000001000001
YGR254W	P00924	ENO1	46.81564	1	1.8418594133369	2	0	0.00184124724033965	1.6579716125679e-06	1.00000100000101
YHR174W	P00925	ENO2	46.91368	1	1.8418594133369	2	0	0.00183739745443518	0	1.00000100000101
YKL152C	P00950	GPM1	27.60828	1	1.8418594133369	2	0	0.00311983994244899	0	1.00000100000101
YMR323W	P42222	ERR3	47.31216	1	1.8418594133369	2	0	0.0018219214696873	0	1.00000100000101
YOR393W	P0CX10	ERR1	47.32712	1	1.8418594133369	2	0	0.00182134787380036	0	1.00000100000101
YPL281C	P0CX11	ERR2	47.32712	1	1.8418594133369	2	0	0.00182134787380036	0	1.00000100000101
YOR283W	Q12040	YOR283W	26.17622	1	1.8418594133369	2	0	0.00329052639625892	4.57783461310209e-07	1.00000100000101
YDR516C	Q04409	EMI2	55.92028	2	1.7695031822709	2	1.86175046035676e-07	3.31856839481119e-07	2.95343620268989e-07	1.000001000001
YLR354C	P15019	TAL1	37.0359	1	1.40150520088378	2	0	0.00232885036948526	3.49914623913466e-06	1.00000100000103
YGR043C	P53228	NQM1	37.25314	1	1.40150520088378	2	0	0.0023152722699377	0	1.00000100000102
YBR196C	P12709	PGI1	61.29832	1	1.34585363642408	2	3.91889226880602e-07	0.00140534891254467	3.91917662784338e-07	1.0000010000008
YDR050C	P00942	TPI1	26.79508	1	1.32080246978017	2	3.02516434094661e-08	0.00321410640042533	3.02523762330364e-08	1.00000099999552
YGR240C	P16861	PFK1	107.96906	1	1.31212290488746	2	0	4.08807344660651e-07	0	1.00000100000101
YKL060C	P14540	FBA1	39.62024	1	1.31212290488746	2	0	0.00217694731632262	0	1.00000100000102
YMR205C	P16862	PFK2	104.61673	2	1.31212290488746	2	4.08790182194255e-07	7.35165569617133e-07	7.35152231649294e-07	1.00000100000101
YCR012W	P00560	PGK1	44.73787	1	1.29473162026201	2	9.73950657126301e-07	0.00192599671365321	9.73961824901601e-07	1.00000100000165
YGR192C	P00359	TDH3	35.74626	1	1.29473162026201	2	0	0.00242726834006945	0	1.00000100000101
YJL052W	P00360	TDH1	35.74956	1	1.29473162026201	2	0	0.00242704480379958	1.80250099471236e-05	1.00000100000101
YJR009C	P00358	TDH2	35.84645	1	1.29473162026201	2	0	0.00242049026581817	0	1.00000100000101
YER141W	P40086	COX15	54.65792	0	0.145891666666667	0	0	2.3847993981e-13	2.3847993981e-13	1.00000100000101
YLR304C	P19414	ACO1	85.36736	0	0.137233686195338	0	0	0.00100894168124758	1.0838717743122e-07	1.000001000001
YBL039C	P28274	URA7	64.70953	0	0.133931198022575	0	0	2.16456733536562e-08	0	1.000001000001
YJR103W	P38627	URA8	64.50989	0	0.133931198022575	0	0	2.16456733536562e-08	1.88718006386648e-08	1.00000100000101
YDR503C	Q04396	LPP1	31.58604	0	0.107871373988331	0	0	5.38430341649225e-10	4.9474106999704e-10	1.00000100000101
YER070W	P21524	RNR1	99.56021	0	0.0991249999999893	0	0	2.52990252780622e-07	0	1.00000100000101
YIL066C	P21672	RNR3	97.51369	0	0.0991249999999893	0	0	2.52990252779549e-07	0	1.00000100000101
YJL026W	P09938	RNR2	46.14681	0	0.0991249999999893	0	0	2.52990252779806e-07	0	1.000001000001
YGR180C	P49723	RNR4	40.05407	0	0.0914032167745055	0	0	2.52990252778546e-07	5.49457267030014e-08	1.000001000001
YMR246W	P47912	FAA4	77.26612	0	0.0690372631468148	0	0	0.0011146980451256	8.21514150950268e-08	1.00000100000101
YOR317W	P30624	FAA1	77.86529	0	0.0575310552141077	0	0	0.00110612006406552	0	1.00000100000101
YCL040W	P17709	GLK1	55.37689	0	0	0	0	1.60851414769424e-11	0	1.00000100000101
YFR053C	P04806	HXK1	53.73784	0	0	0	0	1.60851415581496e-11	0	1.00000100000101
YGL253W	P04807	HXK2	53.9419	0	0	0	0	3.47855326307939e-11	0	1.000001000001
YGR202C	P13259	PCT1	49.40551	0	0	0	0	6.61759850145623e-11	0	1.00000100000101
YGR248W	P53315	SOL4	28.44737	0	0	0	0	1.98329466658536e-09	0	1.00000100000101
YGR256W	P53319	GND2	53.92235	0	0	0	0	5.44860908262412e-10	0	1.000001000001
YHR123W	P22140	EPT1	44.55926	0	0	0	0	3.72664737171201e-08	0	1.00000100000101
YHR163W	P38858	SOL3	27.78417	0	0	0	0	1.9832946702015e-09	0	1.00000100000101
YHR183W	P38720	GND1	53.54274	0	0	0	0	5.44860908292913e-10	0	1.00000100000101
YJR095W		SFC1	NaN	0	0	0	0	0	0	1.00000100000101
YLR133W	P20485	CKI1	66.31602	0	0	0	0	8.64176326882841e-10	0	1.000001000001
YLR438W	P07991	CAR2	46.08557	0	0	0	0	1.29640003854838e-08	0	1.00000100000101
YML059C	Q04958	NTE1	187.13107	0	0	0	0	4.15196854657985e-12	0	1.00000100000101
YMR267W	P28239	PPA2	35.57213	0	0	0	0	2.54269280239865e-11	0	1.000001000001
YNL130C	P17898	CPT1	44.82898	0	0	0	0	7.89841710156992e-06	0	1.000001000001
YNL241C	P11412	ZWF1	57.5209	0	0	0	0	3.13415364348226e-11	0	1.000001000001
YNR008W	P40345	LRO1	75.39242	0	-0	0	0	0.00114231019191178	0	1.000001000001
YPL061W	P54115	ALD6	54.41344	0	0	0	0	3.0049984144615e-10	0	1.00000100000101
YPL110C	Q02979	GDE1	138.01285	0	0	0	0	6.67628043509952e-12	0	1.00000100000101
YPR140W	Q06510	TAZ1	44.1872	0	0	0	0	0.00194901403893647	0	1.000001000001
YLR446W	Q06204	YLR446W	48.96875	0	0	0	0	2.63911256844033e-09	0	1.00000100000101
YJR051W	P21375	OSM1	55.06455	0	0	0	0	0.00156400800803722	0	1.00000100000101
