genes	enzymes	shortNames	MWs	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage	unique	conectivity	groups	priority	foldChange_yield	foldChange_pRate	FCC
YBR115C	P07702	LYS2	155.34394	OE	16.103225984598	tightly_const	2	2.56466644412495e-06	2.56466656508331e-06	2.56466644412495e-06	0	8	2	1	1.01531899171549	1.01563192391034	0.0188381647718513
YDL131W	Q12122	LYS21	48.59372	OE	16.103225984598	tightly_const	2	0.000173333111027235	0.000173333119202212	0.000173333111027235	1	6	0	1	1.39704314231781	1.40828953838047	0.397739965109871
YGL154C	P50113	LYS5	30.68281	OE	16.103225984598	tightly_const	2	2.56466644412495e-06	2.56466656508331e-06	2.56466644412495e-06	0	8	2	1	1.00300367735117	1.00306427639405	0
YIL094C	P40495	LYS12	40.06854	OE	16.103225984598	tightly_const	2	6.29098548195368e-06	6.29098577865786e-06	6.29098548195368e-06	1	6	0	1	1.00965982751276	1.00985603363644	0.0119547892657321
YIR034C	P38998	LYS1	41.46445	OE	16.103225984598	tightly_const	2	5.68864111102628e-06	5.68864137932186e-06	5.68864111102628e-06	1	7	0	1	1.00903590416316	1.00921932171571	0.011193121320805
YBR221C	P32473	PDB1	40.0532	OE	4.62776874533373	tightly_const	2	3.37846377502673e-06	3.37867905329432e-06	3.37863599764063e-06	0	6	3	1	1.00957681752174	1.00977132126594	0
YER178W	P16387	PDA1	46.34261	OE	4.62776874533373	tightly_const	2	3.37846377502673e-06	3.37867905329432e-06	3.37863599764063e-06	0	6	3	1	1.01108532564071	1.01131081020975	0
YGR193C	P16451	PDX1	45.36125	OE	4.62776874533373	tightly_const	2	3.37846377502673e-06	3.37867905329432e-06	3.37863599764063e-06	0	6	3	1	1.01084987733099	1.01107052025153	0
YNL071W	P12695	LAT1	51.81762	OE	4.62776874533373	tightly_const	2	3.37846377502673e-06	3.37867905329432e-06	3.37863599764063e-06	0	6	3	1	1.01239954215826	1.01265209347426	0
YNR001C	P00890	CIT1	53.35945	OE	4.7351497432661	opt_isoenz_tight	2	0	8.33087075368811e-07	8.33065776096305e-07	1	7	0	2	1.00309640006597	1.0031588756766	0
YHR163W	P38858	SOL3	27.78417	OE	4.38878536160952	opt_isoenz_tight	2	0	2.04088245184003e-05	2.03192871261842e-05	0	5	4	2	1.06538033776718	1.06678317420718	0.0224575920338822
YHR183W	P38720	GND1	53.54274	OE	4.38878536160952	opt_isoenz_tight	2	0	5.60681717754098e-06	5.58221900490912e-06	0	6	5	2	1.03446338801704	1.03518094758787	0.0119354114877731
YGL062W	P11154	PYC1	130.09827	OE	2.39044971817248	opt_isoenz_tight	2	0	2.45662613368778e-06	2.45147627821533e-06	0	8	7	2	1.04030414297092	1.04114814976747	0.0119178773032637
YGR087C	P26263	PDC6	61.57964	KD	0.292947728442554	subOpt_isoenz	0	0	2.34376324984948e-07	0	0	17	12	2	1.00000000000002	1.00000000000001	0
YLR134W	P16467	PDC5	61.91138	KD	0.292947728442554	subOpt_isoenz	0	0	2.3437632498391e-07	0	0	17	12	2	1.00000000000004	1.00000000000003	0
YBL039C	P28274	URA7	64.70953	KD	0.28728328166664	subOpt_isoenz	0	0	4.15698783816556e-08	0	0	12	13	2	1.00000000000003	1.00000000000003	0
YAL062W	P39708	GDH3	49.62653	KD	0.278320716745236	subOpt_isoenz	0	0	5.19480579369602e-06	0	0	8	14	2	1.00000000000004	1.00000000000003	0
YER070W	P21524	RNR1	99.56021	KD	0.275612535781207	subOpt_isoenz	0	0	4.87293537433729e-07	0	0	24	15	2	1.00000000000008	1.00000000000007	0
YIL066C	P21672	RNR3	97.51369	KD	0.275612535781207	subOpt_isoenz	0	0	4.87293537435597e-07	0	0	24	15	2	1.00000000000001	1	0
YJL026W	P09938	RNR2	46.14681	KD	0.275612535781207	subOpt_isoenz	0	0	4.87293537435538e-07	0	0	24	15	2	1.00000000000006	1.00000000000006	0
YMR145C	P40215	NDE1	62.77345	KD	0.236922406719225	subOpt_isoenz	0	0	6.38914559993041e-05	0	0	6	16	2	0.999999999999997	0.999999999999994	0
YNR019W	P53629	ARE2	74.022	KD	0.207585615474308	subOpt_isoenz	0	0	0.000956820650822792	0	1	84	0	2	1.00000000000006	1.00000000000006	0
YOR245C	Q08650	DGA1	47.71075	KD	0.164378423211462	subOpt_isoenz	0	0	1.02838195543644e-07	0	1	122	0	2	1.00000000000003	1.00000000000004	0
YER081W	P40054	SER3	51.1927	KO	0.028079950278049	subOpt_isoenz	0	0	2.9601919755393e-08	0	0	6	17	2	1.00000000000002	1.00000000000003	0
YDL066W	P21954	IDP1	48.18986	KO	0	subOpt_isoenz	0	0	4.29941353099e-10	0	1	5	0	2	1.00000000000003	1.00000000000003	0
YDR148C	P19262	KGD2	50.43011	KO	0	subOpt_isoenz	0	0	1.32958741586808e-10	0	0	11	19	3	1.00000000000005	1.00000000000003	0
