gene_IDs	gene_names	K_score
YBR145W	ADH5	1000
YDL168W	SFA1	1000
YGR155W	CYS4	1000
YGR248W	SOL4	1000
YGR256W	GND2	1000
YHR163W	SOL3	1000
YHR183W	GND1	1000
YNL241C	ZWF1	1000
YOL086C	ADH1	1000
YDR452W	PPN1	1000
LUP	LUP	1000
YDR380W	ARO10	92.471711334859
YAL038W	CDC19	3.50962844984525
YGR254W	ENO1	3.50962844984525
YHR174W	ENO2	3.50962844984525
YKL152C	GPM1	3.50962844984525
YOR347C	PYK2	3.50962844984525
YMR323W	ERR3	3.50962844984525
YOR393W	ERR1	3.50962844984525
YPL281C	ERR2	3.50962844984525
YOR283W	YOR283W	3.50962844984525
YCR012W	PGK1	1.25742892702522
YGR192C	TDH3	1.25742892702522
YJL052W	TDH1	1.25742892702522
YJR009C	TDH2	1.25742892702522
YDR050C	TPI1	1.2536839704822
YMR205C	PFK2	1.2440510022378
YGR240C	PFK1	1.24405100021664
YKL060C	FBA1	1.24405100021664
YGR043C	NQM1	1.22729423902113
YLR354C	TAL1	1.22729423902113
YDR516C	EMI2	1.00081609399929
YER141W	COX15	0.149704166666667
YJL130C	URA2	0.138237376994021
YDL166C	FAP7	0.126958575374211
YDR226W	ADK1	0.118444371700896
YJR109C	CPA2	0.115957811105924
YOR303W	CPA1	0.115957811105924
YIL125W	KGD1	0.109850120582261
YBR221C	PDB1	0.109802134051669
YER178W	PDA1	0.109802134051669
YGR193C	PDX1	0.109802134051669
YNL071W	LAT1	0.109802134051669
YDR148C	KGD2	0.1098
YDR503C	LPP1	0.107871327886658
YLL052C	AQY2	0.098784897905149
YPR192W	AQY1	0.098784897905149
YFL018C	LPD1	0.0912892594770445
YMR267W	PPA2	0.0872196595615425
YNL036W	NCE103	0.0848474476078447
YOR222W	ODC2	0.0729750115218008
YPL134C	ODC1	0.0729750115218008
YAL044C	GCV3	0.0549
YDR019C	GCV1	0.0549
YMR189W	GCV2	0.0549
YDL085W	NDE2	0.0444879292125661
YMR145C	NDE1	0.0444879292125661
Q0080	ATP8	0.0388950682647515
Q0085	ATP6	0.0388950682647515
Q0130	OLI1	0.0388950682647515
YBL099W	ATP1	0.0388950682647515
YBR039W	ATP3	0.0388950682647515
YDL004W	ATP16	0.0388950682647515
YDR298C	ATP5	0.0388950682647515
YDR322C-A	TIM11	0.0388950682647515
YDR377W	ATP17	0.0388950682647515
YJR121W	ATP2	0.0388950682647515
YKL016C	ATP7	0.0388950682647515
YML081C-A	ATP18	0.0388950682647515
YPL078C	ATP4	0.0388950682647515
YPL271W	ATP15	0.0388950682647515
YPR020W	ATP20	0.0388950682647515
YOL077W-A	ATP19	0.0388950682647515
YLR295C	ATP14	0.0388950682647513
YLR395C	COX8	0.0382450936979049
Q0045	COX1	0.0382450936979049
Q0250	COX2	0.0382450936979049
Q0275	COX3	0.0382450936979049
YDL067C	COX9	0.0382450936979049
YGL187C	COX4	0.0382450936979049
YGL191W	COX13	0.0382450936979049
YHR051W	COX6	0.0382450936979049
YIL111W	COX5B	0.0382450936979049
YLR038C	COX12	0.0382450936979049
YMR256C	COX7	0.0382450936979049
Q0105	COB	0.0380086601356383
YBL045C	COR1	0.0380086590293661
YDR529C	QCR7	0.0380086590293661
YEL024W	RIP1	0.0380086590293661
YFR033C	QCR6	0.0380086590293661
YGR183C	QCR9	0.0380086590293661
YHR001W-A	QCR10	0.0380086590293661
YJL166W	QCR8	0.0380086590293661
YOR065W	CYT1	0.0380086590293661
YPR191W	QCR2	0.0380086590293661
YGL080W	MPC1	0.0324140289399296
YGR243W	MPC3	0.0324140289399296
YHR162W	MPC2	0.0324140289399296
YKL069W	YKL069W	0.0272630281287576
YER053C	PIC2	0.0214390914984169
YJR077C	MIR1	0.0214390914984169
YLR153C	ACS2	0.0202517641324452
YML120C	NDI1	0.019962285361484
YJR130C	STR2	0.0131263247366666
YPR035W	GLN1	0.0109249013636926
YLR058C	SHM2	0.00729427490499367
YGR204W	ADE3	0.00669404912280951
YKL085W	MDH1	8.57037240774167e-07
YAL062W	GDH3	0
YBR115C	LYS2	0
YBR218C	PYC2	0
YBR263W	SHM1	0
YBR291C	CTP1	0
YCL009C	ILV6	0
YCL018W	LEU2	0
YCL040W	GLK1	0
YCL050C	APA1	0
YCR053W	THR4	0
YDL066W	IDP1	0
YDL131W	LYS21	0
YDR158W	HOM2	0
YDR234W	LYS4	0
YDR300C	PRO1	0
YDR353W	TRR1	0
YDR384C	ATO3	0
YER023W	PRO3	0
YER052C	HOM3	0
YER069W	ARG5,6	0
YER070W	RNR1	0
YER081W	SER3	0
YER091C	MET6	0
YER152C	YER152C	0
YFR053C	HXK1	0
YGL009C	LEU1	0
YGL062W	PYC1	0
YGL125W	MET13	0
YGL154C	LYS5	0
YGL184C	STR3	0
YGL253W	HXK2	0
YGR121C	MEP1	0
YGR180C	RNR4	0
YGR208W	SER2	0
YHR025W	THR1	0
YIL066C	RNR3	0
YIL074C	SER33	0
YIL094C	LYS12	0
YIR034C	LYS1	0
YJL026W	RNR2	0
YJL088W	ARG3	0
YJR016C	ILV3	0
YJR095W	SFC1	0
YJR139C	HOM6	0
YKL001C	MET14	0
YLR043C	TRX1	0
YLR155C	ASP3-1	0
YLR157C	ASP3-2	0
YLR158C	ASP3-3	0
YLR160C	ASP3-4	0
YLR174W	IDP2	0
YLR304C	ACO1	0
YLR355C	ILV5	0
YMR062C	ARG7	0
YMR108W	ILV2	0
YMR241W	YHM2	0
YMR246W	FAA4	0
YNL037C	IDH1	0
YNL104C	LEU4	0
YNL142W	MEP2	0
YNR001C	CIT1	0
YNR050C	LYS9	0
YOL064C	MET22	0
YOL140W	ARG8	0
YOR130C	ORT1	0
YOR136W	IDH2	0
YOR184W	SER1	0
YOR317W	FAA1	0
YOR323C	PRO2	0
YOR375C	GDH1	0
YOR388C	FDH1	0
YPL023C	MET12	0
YPL092W	SSU1	0
YPR001W	CIT3	0
YPR138C	MEP3	0
YPR167C	MET16	0
YFR055W	IRC7	0
YLR446W	YLR446W	0
YJL200C	ACO2	0
