genes	enzymes	shortNames	MWs	actions	k_scores
YCL025C		AGP1	NaN	1	1000
YFL055W		AGP3	NaN	1	1000
YKR039W		GAP1	NaN	1	1000
YPL265W		DIP5	NaN	1	1000
YKL060C	P14540	FBA1	39.62024	1	667.07789989499
YGR240C	P16861	PFK1	107.96906	1	500.616849842485
YMR205C	P16862	PFK2	104.61673	1	400.740226571486
YLR174W	P41939	IDP2	46.56172	1	29.8320540337369
YOL126C	P22133	MDH2	40.7305	1	8.11788811610063
YKL085W	P17505	MDH1	35.64959	1	7.79328211428067
YPR001W	P43635	CIT3	53.81073	1	7.79328211428067
YNR001C	P00890	CIT1	53.35945	1	7.79328211428067
YGL062W	P11154	PYC1	130.09827	1	4.25677514127116
YBR218C	P32327	PYC2	130.16549	1	4.25677514127116
YBR221C	P32473	PDB1	40.0532	1	3.49157678542642
YER178W	P16387	PDA1	46.34261	1	3.49157678542642
YGR193C	P16451	PDX1	45.36125	1	3.49157678542642
YNL071W	P12695	LAT1	51.81762	1	3.49157678542642
YNL036W	P53615	NCE103	24.85889	1	2.94955164870618
YOR347C	P52489	PYK2	55.19478	1	2.48614246153901
YAL038W	P00549	CDC19	54.54404	1	2.48614246153901
YGL080W		MPC1	NaN	1	2.39908257820512
YGR243W		MPC3	NaN	1	2.39908257820512
YHR162W		MPC2	NaN	1	2.39908257820512
YGR254W	P00924	ENO1	46.81564	1	2.32715852897959
YHR174W	P00925	ENO2	46.91368	1	2.32715852897959
YKL152C	P00950	GPM1	27.60828	1	2.32715852897959
YMR323W	P42222	ERR3	47.31216	1	2.32715852897959
YOR393W	P0CX10	ERR1	47.32712	1	2.32715852897959
YPL281C	P0CX11	ERR2	47.32712	1	2.32715852897959
YOR283W	Q12040	YOR283W	26.17622	1	2.32715852897959
YML120C	P32340	NDI1	57.24915	1	1.69747735195227
YDR384C		ATO3	NaN	1	1.69515600171457
YGR121C		MEP1	NaN	1	1.69515600171457
YNL142W		MEP2	NaN	1	1.69515600171457
YPR138C		MEP3	NaN	1	1.69515600171457
YLR354C	P15019	TAL1	37.0359	1	1.27320924348273
YGR043C	P53228	NQM1	37.25314	1	1.27320924348273
YDR050C	P00942	TPI1	26.79508	1	1.24071546835178
YCR012W	P00560	PGK1	44.73787	1	1.23429765685554
YGR192C	P00359	TDH3	35.74626	1	1.23429765685554
YJL052W	P00360	TDH1	35.74956	1	1.23429765685554
YJR009C	P00358	TDH2	35.84645	1	1.23429765685554
YDR516C	Q04409	EMI2	55.92028	1	1.00066848091419
YER069W	Q01217	ARG5,6	94.86823	0	0.293884178202216
YMR062C	Q04728	ARG7	47.84821	0	0.293884178202216
YOL140W	P18544	ARG8	46.68082	0	0.293884178202216
YOR130C		ORT1	NaN	0	0.293884178202216
YLR438W	P07991	CAR2	46.08557	0	0.293771169182508
YBR029C	P38221	CDS1	51.82218	0	0.293276785490276
YOR175C	Q08548	ALE1	72.22714	0	0.287459551319362
YBL039C	P28274	URA7	64.70953	0	0.285954337145187
YJR103W	P38627	URA8	64.50989	0	0.285954337145187
YDL052C	P33333	SLC1	33.88654	0	0.281727651681162
YER070W	P21524	RNR1	99.56021	0	0.271974461557426
YIL066C	P21672	RNR3	97.51369	0	0.271974461557426
YJL026W	P09938	RNR2	46.14681	0	0.271974461557426
YGR180C	P49723	RNR4	40.05407	0	0.268542906787627
YCR048W	P25628	ARE1	71.61215	0	0.220003558221357
YDR503C	Q04396	LPP1	31.58604	0	0.207961799822391
YNR019W	P53629	ARE2	74.022	0	0.207585615340084
YDL085W	Q07500	NDE2	61.65854	0	0.166526832373015
YMR145C	P40215	NDE1	62.77345	0	0.166526832373015
YOR245C	Q08650	DGA1	47.71075	0	0.164378423010126
YHR002W		LEU5	NaN	0	0.153912368206966
YLR044C	P06169	PDC1	61.49468	0	0.121746769830396
YGR087C	P26263	PDC6	61.57964	0	0.121746769830396
YLR134W	P16467	PDC5	61.91138	0	0.121746769830396
YBR263W	P37292	SHM1	53.68589	0	0.0966751906713158
YAL044C	P39726	GCV3	18.79276	0	0.063037561898279
YDR019C	P48015	GCV1	44.46849	0	0.063037561898279
YMR189W	P49095	GCV2	114.45033	0	0.063037561898279
YDR148C	P19262	KGD2	50.43011	0	0.0294
YIL125W	P20967	KGD1	114.41496	0	0.0294
YDL066W	P21954	IDP1	48.18986	0	0.0294
YER081W	P40054	SER3	51.1927	0	0.0126068041628477
YIL074C	P40510	SER33	51.18777	0	0.0126068041628477
YOR184W	P33330	SER1	43.41501	0	0.0126068041628477
YGR208W	P42941	SER2	34.20684	0	0.0126068041628477
YLR058C	P37291	SHM2	52.21793	0	0.00936616000123391
YOR388C	Q08911	FDH1	41.7138	0	0.000998025043777187
YCL040W	P17709	GLK1	55.37689	0	0
YFR053C	P04806	HXK1	53.73784	0	0
YGL253W	P04807	HXK2	53.9419	0	0
YLR446W	Q06204	YLR446W	48.96875	0	0
